angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.0,0.4,,"[1508, 286, 789, 1041]","[145, 1509, 255, 273]",,0.0,0.03,,0.0,0.07,,1.0,0.36,,0.0,0.09,,0.0,0.04,,0.0,0.02,
0.0,,,"[1499, 277, 803, 1012]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1492, 276, 816, 1022]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.34,,"[1501, 283, 815, 1029]","[1428, 1560, 19, 25]",,0.0,0.03,,0.0,0.11,,1.0,0.13,,0.0,0.08,,0.0,0.27,,0.0,0.04,
0.0,,,"[1514, 267, 811, 1063]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1515, 272, 836, 1104]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1515, 264, 827, 1112]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1515, 285, 822, 1052]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.32,,"[1540, 318, 803, 996]","[1446, 1581, 20, 26]",,0.0,0.05,,0.0,0.14,,0.99,0.11,,0.0,0.07,,0.0,0.28,,0.0,0.04,
0.0,,,"[1532, 306, 821, 1031]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.29,0.29,"[1528, 297, 831, 1055]","[-12, 1463, 357, 405]","[1450, 1587, 19, 26]",0.0,0.0,0.03,0.0,0.07,0.12,1.0,0.37,0.13,0.0,0.03,0.06,0.0,0.22,0.34,0.0,0.01,0.03
0.0,0.28,0.27,"[1537, 275, 814, 1066]","[-16, 1460, 361, 411]","[1451, 1590, 20, 26]",0.0,0.0,0.03,0.0,0.09,0.11,1.0,0.31,0.14,0.0,0.04,0.09,0.0,0.27,0.33,0.0,0.01,0.04
0.0,0.21,,"[1528, 307, 810, 1033]","[-22, 1458, 361, 412]",,0.0,0.0,,0.0,0.09,,1.0,0.38,,0.0,0.03,,0.0,0.28,,0.0,0.01,
0.0,,,"[1528, 308, 811, 1034]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1527, 307, 814, 1037]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1527, 302, 817, 1044]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1526, 302, 819, 1044]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1526, 300, 822, 1046]",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1524, 291, 829, 1057]",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1522, 286, 834, 1064]",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1522, 286, 834, 1065]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1524, 285, 835, 1066]",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1528, 290, 831, 1060]",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,0.21,,"[1528, 292, 832, 1058]","[6, 504, 218, 267]",,0.0,0.0,,0.0,0.12,,1.0,0.23,,0.0,0.34,,0.0,0.07,,0.0,0.03,
0.0,,,"[1532, 263, 863, 1097]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1536, 255, 869, 1107]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.37,,"[1558, 269, 857, 1090]","[1463, 1625, 20, 25]",,0.0,0.02,,0.0,0.15,,0.99,0.12,,0.0,0.08,,0.0,0.22,,0.0,0.04,
0.0,0.15,,"[1538, 277, 844, 1102]","[-13, 509, 235, 288]",,0.0,0.0,,0.0,0.13,,1.0,0.36,,0.0,0.26,,0.0,0.08,,0.0,0.02,
0.0,0.16,,"[1538, 279, 846, 1102]","[-17, 512, 234, 286]",,0.0,0.0,,0.0,0.14,,1.0,0.37,,0.0,0.24,,0.0,0.07,,0.0,0.02,
0.0,,,"[1555, 260, 868, 1106]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1560, 263, 865, 1101]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1560, 262, 867, 1102]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.21,,"[1563, 264, 865, 1094]","[-37, 513, 247, 298]",,0.0,0.0,,0.0,0.12,,0.99,0.26,,0.0,0.3,,0.0,0.08,,0.0,0.02,
0.0,0.21,,"[1563, 261, 868, 1099]","[-41, 516, 244, 296]",,0.0,0.0,,0.0,0.13,,1.0,0.28,,0.0,0.28,,0.0,0.09,,0.0,0.02,
0.0,0.23,,"[1532, 248, 887, 1118]","[-43, 522, 242, 291]",,0.0,0.0,,0.0,0.12,,0.99,0.27,,0.0,0.29,,0.0,0.06,,0.0,0.03,
0.0,0.21,,"[1532, 255, 882, 1108]","[-48, 521, 243, 293]",,0.0,0.0,,0.0,0.13,,0.99,0.24,,0.0,0.33,,0.0,0.07,,0.0,0.03,
0.01,0.38,,"[1530, 252, 885, 1111]","[1452, 1644, 19, 25]",,0.0,0.04,,0.0,0.13,,0.98,0.12,,0.0,0.06,,0.0,0.24,,0.0,0.03,
0.0,0.37,,"[1548, 228, 865, 1173]","[1448, 1644, 19, 25]",,0.0,0.04,,0.0,0.1,,1.0,0.17,,0.0,0.05,,0.0,0.25,,0.0,0.02,
0.0,0.3,,"[1521, 211, 905, 1175]","[1445, 1644, 19, 25]",,0.0,0.04,,0.0,0.1,,1.0,0.16,,0.0,0.05,,0.0,0.33,,0.0,0.02,
0.0,0.31,,"[1528, 225, 896, 1146]","[1442, 1645, 19, 25]",,0.0,0.04,,0.0,0.11,,1.0,0.13,,0.0,0.05,,0.0,0.33,,0.0,0.02,
0.0,0.13,0.3,"[1526, 225, 903, 1154]","[2616, 1034, 136, 154]","[1438, 1645, 20, 25]",0.0,0.04,0.04,0.0,0.1,0.12,1.0,0.48,0.15,0.0,0.11,0.06,0.0,0.12,0.31,0.0,0.03,0.03
0.0,0.14,0.34,"[1516, 274, 854, 1089]","[2615, 1036, 135, 152]","[1435, 1644, 20, 25]",0.0,0.04,0.04,0.0,0.11,0.1,1.0,0.44,0.18,0.0,0.1,0.05,0.0,0.14,0.28,0.0,0.03,0.01
0.0,0.15,,"[1512, 258, 869, 1105]","[2615, 1037, 132, 149]",,0.0,0.04,,0.0,0.11,,1.0,0.49,,0.0,0.06,,0.0,0.11,,0.0,0.04,
0.0,0.15,,"[1508, 249, 880, 1118]","[2613, 1039, 133, 149]",,0.0,0.04,,0.0,0.09,,1.0,0.52,,0.0,0.05,,0.0,0.11,,0.0,0.03,
0.0,0.3,,"[1505, 236, 888, 1129]","[1428, 1645, 20, 26]",,0.0,0.05,,0.0,0.15,,1.0,0.13,,0.0,0.05,,0.0,0.3,,0.0,0.03,
0.0,0.24,,"[1526, 208, 886, 1171]","[1427, 1644, 20, 26]",,0.0,0.04,,0.0,0.11,,1.0,0.18,,0.0,0.06,,0.0,0.36,,0.0,0.02,
0.0,0.25,,"[1523, 202, 890, 1178]","[1424, 1643, 22, 29]",,0.0,0.04,,0.0,0.11,,1.0,0.14,,0.0,0.05,,0.0,0.37,,0.0,0.03,
0.0,0.3,,"[1496, 213, 914, 1158]","[1424, 1644, 21, 27]",,0.0,0.04,,0.0,0.11,,1.0,0.15,,0.0,0.05,,0.0,0.32,,0.0,0.03,
0.0,,,"[1494, 213, 916, 1155]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.27,,"[1494, 195, 925, 1173]","[1424, 1645, 19, 25]",,0.0,0.04,,0.0,0.11,,0.99,0.16,,0.0,0.06,,0.0,0.35,,0.0,0.02,
0.0,0.31,0.27,"[1496, 191, 925, 1177]","[2958, 1811, 43, 56]","[1423, 1645, 19, 24]",0.0,0.0,0.07,0.0,0.15,0.12,0.99,0.02,0.12,0.0,0.09,0.05,0.0,0.41,0.36,0.0,0.01,0.01
0.0,0.29,,"[1492, 192, 929, 1174]","[1424, 1644, 19, 24]",,0.0,0.06,,0.0,0.12,,1.0,0.14,,0.0,0.06,,0.0,0.31,,0.0,0.02,
0.0,0.31,,"[1496, 200, 921, 1164]","[1425, 1643, 19, 25]",,0.0,0.04,,0.0,0.13,,1.0,0.16,,0.0,0.05,,0.0,0.29,,0.0,0.02,
0.0,0.26,,"[1499, 201, 912, 1159]","[1424, 1641, 20, 26]",,0.0,0.03,,0.0,0.09,,1.0,0.17,,0.0,0.06,,0.0,0.38,,0.0,0.02,
0.0,0.27,,"[1504, 210, 898, 1142]","[1424, 1641, 19, 25]",,0.0,0.07,,0.0,0.11,,1.0,0.19,,0.0,0.05,,0.0,0.29,,0.0,0.02,
0.0,,,"[1502, 167, 924, 1202]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
